[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:14,999] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 12:30:24,605] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:24:04,104] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:24:18,387] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:24:21,082] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:22,629] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:23,648] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:23,648] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:24,502] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:24,502] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:24,502] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:25,627] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:25,627] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:25,627] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:25,627] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:25,683] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:25,683] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:25,683] INFO [app:181] FitControl Pro 2.0 initialized.
